stage_id,timepoint,availability_derate
1,2030001,1.0
1,2030002,1.0
1,2030003,1.0
1,2030004,1.0
1,2030005,1.0
1,2030006,1.0
1,2030007,1.0
1,2030008,1.0
1,2030009,1.0
1,2030010,1.0
1,2030011,1.0
1,2030012,1.0
1,2030013,1.0
1,2030014,1.0
1,2030015,1.0
1,2030016,1.0
1,2030017,1.0
1,2030018,1.0
1,2030019,1.0
1,2030020,1.0
1,2030021,1.0
1,2030022,1.0
1,2030023,1.0
1,2030024,1.0
1,2030025,1.0
1,2030026,1.0
1,2030027,1.0
1,2030028,1.0
1,2030029,1.0
1,2030030,1.0
1,2030031,1.0
1,2030032,1.0
1,2030033,1.0
1,2030034,1.0
1,2030035,1.0
1,2030036,1.0
1,2030037,1.0
1,2030038,1.0
1,2030039,1.0
1,2030040,1.0
1,2030041,1.0
1,2030042,1.0
1,2030043,1.0
1,2030044,1.0
1,2030045,1.0
1,2030046,1.0
1,2030047,1.0
1,2030048,1.0
1,2030049,1.0
1,2030050,1.0
1,2030051,1.0
1,2030052,1.0
1,2030053,1.0
1,2030054,1.0
1,2030055,1.0
1,2030056,1.0
1,2030057,1.0
1,2030058,1.0
1,2030059,1.0
1,2030060,1.0
1,2030061,1.0
1,2030062,1.0
1,2030063,1.0
1,2030064,1.0
1,2030065,1.0
1,2030066,1.0
1,2030067,1.0
1,2030068,1.0
1,2030069,1.0
1,2030070,1.0
1,2030071,1.0
1,2030072,1.0
1,2030073,1.0
1,2030074,1.0
1,2030075,1.0
1,2030076,1.0
1,2030077,1.0
1,2030078,1.0
1,2030079,1.0
1,2030080,1.0
1,2030081,1.0
1,2030082,1.0
1,2030083,1.0
1,2030084,1.0
1,2030085,1.0
1,2030086,1.0
1,2030087,1.0
1,2030088,1.0
1,2030089,0.0
1,2030090,0.0
1,2030091,0.0
1,2030092,0.0
1,2030093,0.0
1,2030094,0.0
1,2030095,0.0
1,2030096,0.0
1,2030097,0.0
1,2030098,0.0
1,2030099,0.0
1,2030100,0.0
1,2030101,0.0
1,2030102,0.0
1,2030103,0.0
1,2030104,0.0
1,2030105,0.0
1,2030106,0.0
1,2030107,0.0
1,2030108,0.0
1,2030109,0.0
1,2030110,0.0
1,2030111,0.0
1,2030112,0.0
1,2030113,0.0
1,2030114,0.0
1,2030115,0.0
1,2030116,0.0
1,2030117,0.0
1,2030118,0.0
1,2030119,1.0
1,2030120,1.0
1,2030121,1.0
1,2030122,1.0
1,2030123,1.0
1,2030124,1.0
1,2030125,1.0
1,2030126,1.0
1,2030127,1.0
1,2030128,1.0
1,2030129,1.0
1,2030130,1.0
1,2030131,1.0
1,2030132,1.0
1,2030133,1.0
1,2030134,1.0
1,2030135,1.0
1,2030136,1.0
1,2030137,1.0
1,2030138,1.0
1,2030139,1.0
1,2030140,1.0
1,2030141,1.0
1,2030142,1.0
1,2030143,1.0
1,2030144,1.0
1,2030145,1.0
1,2030146,1.0
1,2030147,1.0
1,2030148,1.0
1,2030149,1.0
1,2030150,1.0
1,2030151,1.0
1,2030152,1.0
1,2030153,1.0
1,2030154,1.0
1,2030155,1.0
1,2030156,1.0
1,2030157,1.0
1,2030158,1.0
1,2030159,1.0
1,2030160,1.0
1,2030161,1.0
1,2030162,1.0
1,2030163,1.0
1,2030164,1.0
1,2030165,1.0
1,2030166,1.0
1,2030167,1.0
1,2030168,1.0
1,2030169,1.0
1,2030170,1.0
1,2030171,1.0
1,2030172,1.0
1,2030173,1.0
1,2030174,1.0
1,2030175,1.0
1,2030176,1.0
1,2030177,1.0
1,2030178,1.0
1,2030179,1.0
1,2030180,1.0
1,2030181,1.0
1,2030182,1.0
1,2030183,1.0
1,2030184,1.0
1,2030185,1.0
1,2030186,1.0
1,2030187,1.0
1,2030188,1.0
1,2030189,1.0
1,2030190,1.0
1,2030191,1.0
1,2030192,1.0
1,2030193,1.0
1,2030194,1.0
1,2030195,1.0
1,2030196,1.0
1,2030197,1.0
1,2030198,1.0
1,2030199,1.0
1,2030200,1.0
1,2030201,1.0
1,2030202,1.0
1,2030203,1.0
1,2030204,1.0
1,2030205,1.0
1,2030206,1.0
1,2030207,1.0
1,2030208,1.0
1,2030209,1.0
1,2030210,1.0
1,2030211,1.0
1,2030212,1.0
1,2030213,1.0
1,2030214,1.0
1,2030215,1.0
1,2030216,1.0
1,2030217,1.0
1,2030218,1.0
1,2030219,1.0
1,2030220,1.0
1,2030221,1.0
1,2030222,1.0
1,2030223,1.0
1,2030224,1.0
1,2030225,1.0
1,2030226,1.0
1,2030227,1.0
1,2030228,1.0
1,2030229,1.0
1,2030230,1.0
1,2030231,1.0
1,2030232,1.0
1,2030233,1.0
1,2030234,1.0
1,2030235,1.0
1,2030236,1.0
1,2030237,1.0
1,2030238,1.0
1,2030239,1.0
1,2030240,1.0
1,2030241,1.0
1,2030242,1.0
1,2030243,1.0
1,2030244,1.0
1,2030245,1.0
1,2030246,1.0
1,2030247,1.0
1,2030248,1.0
1,2030249,1.0
1,2030250,1.0
1,2030251,1.0
1,2030252,1.0
1,2030253,1.0
1,2030254,1.0
1,2030255,1.0
1,2030256,1.0
1,2030257,1.0
1,2030258,1.0
1,2030259,1.0
1,2030260,1.0
1,2030261,1.0
1,2030262,1.0
1,2030263,1.0
1,2030264,1.0
1,2030265,1.0
1,2030266,1.0
1,2030267,1.0
1,2030268,1.0
1,2030269,1.0
1,2030270,1.0
1,2030271,1.0
1,2030272,1.0
1,2030273,1.0
1,2030274,1.0
1,2030275,1.0
1,2030276,1.0
1,2030277,1.0
1,2030278,1.0
1,2030279,1.0
1,2030280,1.0
1,2030281,1.0
1,2030282,1.0
1,2030283,1.0
1,2030284,1.0
1,2030285,1.0
1,2030286,1.0
1,2030287,1.0
